Authors (Year),N(Sample size),NewSID,x,1-PA,2-digitPM,3-nondigitPM,4-digitRAN,5-non-digitRAN,6-mathFluency,7-mathAccuracy,8-basicNumberKnowledge,9-calculation,10-WordProblem,11-VerbalIQ,12-NonverbalIQ,13-Vocabulary ,14-EF,15-Age
Korpipaa(2017),1335,,10-WordProblem,,,,,,,,,,1,,,,,
Korpipaa(2017),1335,,11-VerbalIQ,,,,,,,,,,,1,,,,
Korpipaa(2017),1335,,12-nonverbalIQ,0.2,,,,0.18,,,0.2,0.23,,,1,,,
Korpipaa(2017),1335,,13-Vocabulary ,,,,,,,,,,,,,1,,
Korpipaa(2017),1335,,14-EF,,,,,,,,,,,,,,1,
Korpipaa(2017),1335,,15-Age,,,,,,,,,,,,,,,
Fung et al (2015),413,yxj94,1-PA,1,,,,,,,,,,,,,,
Fung et al (2015),413,,2-digitPM,,1,,,,,,,,,,,,,
Fung et al (2015),413,,3-nondigitPM,,,1,,,,,,,,,,,,
Fung et al (2015),413,,4-digitRAN,,0.03,,1,,,,,,,,,,,
Fung et al (2015),413,,5-non-digitRAN,,0.021,,,1,,,,,,,,,,
Fung et al (2015),413,,6-mathFluency,,,,,,1,,,,,,,,,
Fung et al (2015),413,,7-mathAccuracy,,,,0.1445,0.1535,,1,,,,,,,,
Fung et al (2015),413,,8-basicNumberKnowledge,,,,,,,,1,,,,,,,
Fung et al (2015),413,,9-calculation,,0.155,,0.251,0.267,,,,1,,,,,,
Fung et al (2015),413,,10-WordProblem,,0.111,,0.038,0.04,,,,,1,,,,,
Fung et al (2015),413,,11-VerbalIQ,,,,,,,,,,,1,,,,
Fung et al (2015),413,,12-nonverbalIQ,,0.111,,0.039,0.021,,,,,,,1,,,
Fung et al (2015),413,,13-Vocabulary ,,,,,,,,,,,,,1,,
Fung et al (2015),413,,14-EF,,,,,,,,,,,,,,1,
Fung et al (2015),413,,15-Age,,,,,,,,,,,,,,,
